지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-09-12 00:01,21.8,0,272.9,.6,80.4
119,수원,2023-09-12 00:02,21.8,0,263.6,0,80.4
119,수원,2023-09-12 00:03,21.7,0,309,.9,80.5
119,수원,2023-09-12 00:04,21.8,0,290.4,.8,80.8
119,수원,2023-09-12 00:05,21.8,0,303.5,.7,80.8
119,수원,2023-09-12 00:06,21.8,0,304.1,.4,80.8
119,수원,2023-09-12 00:07,21.8,0,285.4,.5,81.2
119,수원,2023-09-12 00:08,21.8,0,310.4,.4,80.8
119,수원,2023-09-12 00:09,21.8,0,290.4,.8,81.1
119,수원,2023-09-12 00:10,21.8,0,266.6,.5,80.9
119,수원,2023-09-12 00:11,21.8,0,307.7,.8,80.7
119,수원,2023-09-12 00:12,21.8,0,295.3,1.1,80.7
119,수원,2023-09-12 00:13,21.8,0,296,1,80.8
119,수원,2023-09-12 00:14,21.8,0,302.7,.9,80.8
119,수원,2023-09-12 00:15,21.8,0,295.4,1,80.8
119,수원,2023-09-12 00:16,21.8,0,317.2,1,81
119,수원,2023-09-12 00:17,21.8,0,327.9,.9,81
119,수원,2023-09-12 00:18,21.8,0,335.6,1,81
119,수원,2023-09-12 00:19,21.8,0,328.7,.9,80.8
119,수원,2023-09-12 00:20,21.8,0,337.9,.8,80.8
119,수원,2023-09-12 00:21,21.8,0,325.1,.1,81
119,수원,2023-09-12 00:22,21.8,0,294.3,0,81.3
119,수원,2023-09-12 00:23,21.7,0,270,0,81.3
119,수원,2023-09-12 00:24,21.7,0,262.7,0,81.3
119,수원,2023-09-12 00:25,21.7,0,226.1,0,81.4
119,수원,2023-09-12 00:26,21.7,0,228.3,0,81.6
119,수원,2023-09-12 00:27,21.7,0,219.1,0,81.4
119,수원,2023-09-12 00:28,21.7,0,193.9,0,81.3
119,수원,2023-09-12 00:29,21.7,0,204.3,0,81.3
119,수원,2023-09-12 00:30,21.7,0,181.4,0,81.6
119,수원,2023-09-12 00:31,21.7,0,198.3,0,81.5
119,수원,2023-09-12 00:32,21.7,0,224,0,81.6
119,수원,2023-09-12 00:33,21.7,0,243.7,0,81.4
119,수원,2023-09-12 00:34,21.7,0,236.7,0,81.2
119,수원,2023-09-12 00:35,21.7,0,253.3,0,81.4
119,수원,2023-09-12 00:36,21.7,0,230,0,81.3
119,수원,2023-09-12 00:37,21.7,0,200.2,0,81
119,수원,2023-09-12 00:38,21.7,0,198.3,0,80.9
119,수원,2023-09-12 00:39,21.7,0,175.8,0,81.1
119,수원,2023-09-12 00:40,21.7,0,174.4,0,81.3
119,수원,2023-09-12 00:41,21.7,0,174.4,0,81.3
119,수원,2023-09-12 00:42,21.7,0,175.8,0,81.2
119,수원,2023-09-12 00:43,21.7,0,175.8,0,81
119,수원,2023-09-12 00:44,21.7,0,175.8,0,81
119,수원,2023-09-12 00:45,21.7,0,175.8,0,81.3
119,수원,2023-09-12 00:46,21.7,0,177.6,0,81.7
119,수원,2023-09-12 00:47,21.7,0,258.8,0,81.7
119,수원,2023-09-12 00:48,21.7,0,216.6,0,81.6
119,수원,2023-09-12 00:49,21.7,0,203,0,81.6
119,수원,2023-09-12 00:50,21.7,0,219.4,0,81.8
119,수원,2023-09-12 00:51,21.7,0,252.3,0,81.9
119,수원,2023-09-12 00:52,21.7,0,251.7,0,82.4
119,수원,2023-09-12 00:53,21.7,0,294.1,0,82.7
119,수원,2023-09-12 00:54,21.7,0,301.6,0,83
119,수원,2023-09-12 00:55,21.7,0,298.3,0,82.9
119,수원,2023-09-12 00:56,21.7,0,298,0,83.3
119,수원,2023-09-12 00:57,21.6,0,302.3,0,83.6
119,수원,2023-09-12 00:58,21.6,0,301,.7,83.6
119,수원,2023-09-12 00:59,21.6,0,264,.6,83.6
119,수원,2023-09-12 01:00,21.6,0,263.8,.7,83.3
119,수원,2023-09-12 01:01,21.6,0,236.5,.4,83.4
119,수원,2023-09-12 01:02,21.6,0,234,.3,83.3
119,수원,2023-09-12 01:03,21.6,0,240.7,.4,83.1
119,수원,2023-09-12 01:04,21.6,0,246.9,.5,83
119,수원,2023-09-12 01:05,21.6,0,242,.5,83.2
119,수원,2023-09-12 01:06,21.6,0,278.5,.7,83.3
119,수원,2023-09-12 01:07,21.5,0,223.3,.5,83.5
119,수원,2023-09-12 01:08,21.5,0,267.2,.6,83.7
119,수원,2023-09-12 01:09,21.5,0,263.2,.7,83.8
119,수원,2023-09-12 01:10,21.5,0,261.7,1.1,83.9
119,수원,2023-09-12 01:11,21.5,0,261.5,1.1,83.8
119,수원,2023-09-12 01:12,21.5,0,251,.9,83.7
119,수원,2023-09-12 01:13,21.5,0,271,1,83.7
