지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),습도(%)
119,수원,2023-08-03 00:01,24.9,0,195.5,0,83.2
119,수원,2023-08-03 00:02,24.9,0,248.3,0,83.2
119,수원,2023-08-03 00:03,24.8,0,257.2,0,83.5
119,수원,2023-08-03 00:04,24.8,0,239.6,0,83.5
119,수원,2023-08-03 00:05,24.8,0,241.2,0,83.2
119,수원,2023-08-03 00:06,24.8,0,251.6,.8,83.1
119,수원,2023-08-03 00:07,24.8,0,272.7,0,83.4
119,수원,2023-08-03 00:08,24.8,0,224.9,.1,83.4
119,수원,2023-08-03 00:09,24.8,0,224.5,.6,83.5
119,수원,2023-08-03 00:10,24.8,0,232.8,.9,83.8
119,수원,2023-08-03 00:11,24.8,0,246.6,.9,83.8
119,수원,2023-08-03 00:12,24.8,0,223.1,.9,83.6
119,수원,2023-08-03 00:13,24.7,0,235.6,.9,83.8
119,수원,2023-08-03 00:14,24.7,0,231.7,.9,83.7
119,수원,2023-08-03 00:15,24.7,0,244.6,1.1,83.8
119,수원,2023-08-03 00:16,24.7,0,216,.9,83.7
119,수원,2023-08-03 00:17,24.7,0,228.4,.9,83.9
119,수원,2023-08-03 00:18,24.7,0,213,.6,83.7
119,수원,2023-08-03 00:19,24.7,0,223.7,.7,83.6
119,수원,2023-08-03 00:20,24.7,0,200.9,.8,83.5
119,수원,2023-08-03 00:21,24.7,0,218.4,1,83.5
119,수원,2023-08-03 00:22,24.7,0,228,1.2,83.6
119,수원,2023-08-03 00:23,24.7,0,234.8,1.1,83.8
119,수원,2023-08-03 00:24,24.8,0,247.3,.7,83.3
119,수원,2023-08-03 00:25,24.8,0,254.9,1,83.4
119,수원,2023-08-03 00:26,24.8,0,250,.5,83.5
119,수원,2023-08-03 00:27,24.8,0,251.5,.6,83.7
119,수원,2023-08-03 00:28,24.8,0,290.3,.8,83.9
119,수원,2023-08-03 00:29,24.8,0,266.2,.1,83.8
119,수원,2023-08-03 00:30,24.8,0,238.5,.5,83.9
119,수원,2023-08-03 00:31,24.7,0,203.7,0,83.8
119,수원,2023-08-03 00:32,24.7,0,229.6,.4,83.7
119,수원,2023-08-03 00:33,24.7,0,206.6,.9,83.7
119,수원,2023-08-03 00:34,24.7,0,205.2,1.1,83.8
119,수원,2023-08-03 00:35,24.7,0,201.6,1.1,83.7
119,수원,2023-08-03 00:36,24.7,0,213.7,.9,84.1
119,수원,2023-08-03 00:37,24.6,0,220.2,.6,84.1
119,수원,2023-08-03 00:38,24.6,0,216.1,.3,83.9
119,수원,2023-08-03 00:39,24.6,0,298.4,.3,83.7
119,수원,2023-08-03 00:40,24.6,0,305.5,0,83.7
119,수원,2023-08-03 00:41,24.6,0,290.7,0,83.9
119,수원,2023-08-03 00:42,24.6,0,244.1,.4,84.2
119,수원,2023-08-03 00:43,24.6,0,308.8,.2,84.2
119,수원,2023-08-03 00:44,24.6,0,283.5,0,84.2
119,수원,2023-08-03 00:45,24.6,0,283.9,0,84.3
119,수원,2023-08-03 00:46,24.5,0,290.2,0,84.1
119,수원,2023-08-03 00:47,24.5,0,310,0,84.3
119,수원,2023-08-03 00:48,24.5,0,229,0,84.2
119,수원,2023-08-03 00:49,24.5,0,241.5,0,84.1
119,수원,2023-08-03 00:50,24.5,0,218,0,84.1
119,수원,2023-08-03 00:51,24.5,0,245.6,0,84
119,수원,2023-08-03 00:52,24.5,0,219.8,0,84.2
119,수원,2023-08-03 00:53,24.5,0,242.4,0,84.2
119,수원,2023-08-03 00:54,24.4,0,305.6,0,84.4
119,수원,2023-08-03 00:55,24.4,0,270.7,0,84.8
119,수원,2023-08-03 00:56,24.4,0,301.8,0,84.7
119,수원,2023-08-03 00:57,24.4,0,297.4,0,84.7
119,수원,2023-08-03 00:58,24.4,0,292.7,0,84.8
119,수원,2023-08-03 00:59,24.3,0,304,0,84.9
119,수원,2023-08-03 01:00,24.3,0,291.3,0,84.8
119,수원,2023-08-03 01:01,24.3,0,303.8,0,84.7
119,수원,2023-08-03 01:02,24.3,0,285.5,0,84.7
119,수원,2023-08-03 01:03,24.3,0,280.5,0,84.7
119,수원,2023-08-03 01:04,24.3,0,266.4,0,84.6
119,수원,2023-08-03 01:05,24.3,0,251,0,84.6
119,수원,2023-08-03 01:06,24.3,0,237.7,0,84.4
119,수원,2023-08-03 01:07,24.3,0,185.5,0,84.4
119,수원,2023-08-03 01:08,24.3,0,189.8,0,84.6
119,수원,2023-08-03 01:09,24.3,0,187.2,0,84.2
119,수원,2023-08-03 01:10,24.3,0,185.6,.8,84.8
119,수원,2023-08-03 01:11,24.3,0,192,1.1,84.7
119,수원,2023-08-03 01:12,24.3,0,201.1,1.1,84.6
119,수원,2023-08-03 01:13,24.3,0,212.7,1.1,84.8
119,수원,2023-08-03 01:14,24.4,0,218.8,1.2,84.4
119,수원,2023-08-03 01:15,24.4,0,255.9,.4,84.5
119,수원,2023-08-03 01:16,24.4,0,281.1,.5,84.6
119,수원,2023-08-03 01:17,24.4,0,279.3,.9,84.9
119,수원,2023-08-03 01:18,24.4,0,247.2,.6,85.4
119,수원,2023-08-03 01:19,24.3,0,246.3,.9,85.4
119,수원,2023-08-03 01:20,24.3,0,271.3,.9,85.4
119,수원,2023-08-03 01:21,24.3,0,271.5,1,85.4
119,수원,2023-08-03 01:22,24.3,0,260.2,.7,85.2
119,수원,2023-08-03 01:23,24.3,0,237.9,.5,85
119,수원,2023-08-03 01:24,24.2,0,239.2,.7,85
119,수원,2023-08-03 01:25,24.2,0,213.6,0,84.8
119,수원,2023-08-03 01:26,24.2,0,211.1,.6,85
119,수원,2023-08-03 01:27,24.2,0,213.3,.6,85
119,수원,2023-08-03 01:28,24.2,0,230,.6,85.1
119,수원,2023-08-03 01:29,24.2,0,245,.6,85
119,수원,2023-08-03 01:30,24.2,0,234.8,.3,84.9
119,수원,2023-08-03 01:31,24.2,0,242.4,.4,85
119,수원,2023-08-03 01:32,24.1,0,242.1,.2,85
119,수원,2023-08-03 01:33,24.1,0,231.3,.3,85.1
119,수원,2023-08-03 01:34,24.1,0,241.6,.8,85
119,수원,2023-08-03 01:35,24.1,0,234,.8,85.3
119,수원,2023-08-03 01:36,24.1,0,228.7,.9,85.4
119,수원,2023-08-03 01:37,24.1,0,250.5,.4,85.4
119,수원,2023-08-03 01:38,24.1,0,237.2,.6,85.4
119,수원,2023-08-03 01:39,24.1,0,234.5,.5,85.7
119,수원,2023-08-03 01:40,24.1,0,211.6,.9,85.7
119,수원,2023-08-03 01:41,24.1,0,224.5,.9,85.8
119,수원,2023-08-03 01:42,24,0,210,1.2,85.6
119,수원,2023-08-03 01:43,24,0,234,.7,85.6
119,수원,2023-08-03 01:44,24,0,236.7,.7,85.7
119,수원,2023-08-03 01:45,24,0,233.4,.6,85.9
119,수원,2023-08-03 01:46,24,0,231.8,.4,85.9
119,수원,2023-08-03 01:47,24,0,259.2,.6,86
119,수원,2023-08-03 01:48,24,0,243.1,.2,86.3
119,수원,2023-08-03 01:49,24,0,296.1,0,86.4
119,수원,2023-08-03 01:50,24,0,269.4,.1,86.5
119,수원,2023-08-03 01:51,23.9,0,240.7,0,86.4
119,수원,2023-08-03 01:52,23.9,0,242.3,0,86.2
119,수원,2023-08-03 01:53,23.9,0,233.3,0,86.2
119,수원,2023-08-03 01:54,23.9,0,207.3,.4,86.1
119,수원,2023-08-03 01:55,23.9,0,245.6,1.1,86.2
119,수원,2023-08-03 01:56,23.9,0,218.7,.4,86.2
119,수원,2023-08-03 01:57,23.9,0,231.7,.7,86.1
119,수원,2023-08-03 01:58,23.9,0,214.7,.8,86.2
119,수원,2023-08-03 01:59,23.9,0,248.3,1,86.3
119,수원,2023-08-03 02:00,23.9,0,220.3,.7,86.4
119,수원,2023-08-03 02:01,23.9,0,238.6,.8,86.5
119,수원,2023-08-03 02:02,23.9,0,237.6,1.3,86.7
119,수원,2023-08-03 02:03,23.9,0,241.4,.9,86.6
119,수원,2023-08-03 02:04,23.9,0,238.2,1,86.8
119,수원,2023-08-03 02:05,23.9,0,230.6,1.3,87
119,수원,2023-08-03 02:06,23.9,0,230.5,1.1,87
119,수원,2023-08-03 02:07,23.9,0,225,1.2,87.5
119,수원,2023-08-03 02:08,23.9,0,223.4,1.3,87.1
119,수원,2023-08-03 02:09,23.9,0,216.6,1.2,87.1
119,수원,2023-08-03 02:10,23.8,0,217.5,1.1,87
119,수원,2023-08-03 02:11,23.8,0,212.3,1,87.3
119,수원,2023-08-03 02:12,23.8,0,216.7,1,87.4
119,수원,2023-08-03 02:13,23.8,0,224.2,1.1,87.5
119,수원,2023-08-03 02:14,23.8,0,218.2,1,87.5
119,수원,2023-08-03 02:15,23.8,0,230.3,1,87.3
119,수원,2023-08-03 02:16,23.8,0,232.6,.7,87.4
119,수원,2023-08-03 02:17,23.8,0,247.4,.5,87.4
119,수원,2023-08-03 02:18,23.8,0,276.6,.4,87.5
